#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,.,.,.,.,.,[,],.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#, , , , ,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#, , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#, , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#, , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#, , ,., , , , , , ,#,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , ,#,.,.,.,.,.,.,.,.,.,.,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , , , , , , ,#,#,#,#,#,#,.,#,#,#,#,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
 , , , , , , , , , , , , , , , , , , , , , , ,#,#,#,#,#,#,#,#,#,#,#,#,_,#,#,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , ,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,.,.,.,.,.,#
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,#,#,#,#,#,#
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,#, , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , ,[,.,.,.,.,.,.,#, , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,.,.,.,.,.,.,#, , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , ,#,#,#,#,#,#,#,#, , , , ,
